module_name,version,area_total,area_combinational,area_sequential,area_black_box,area_macro,wns_setup,tns_setup,nvp_setup,wns_hold,tns_hold,nvp_hold,power_internal,power_switching,power_leakage,power_total,cell_count,instance_count,net_count,sequential_cell_count,target_frequency,achieved_frequency,mbb_ratio,clock_gating_ratio,utilization,congestion_h,congestion_v,congestion_b,comment
TOP_CORE,v1.0,12500.50,5200.30,3800.20,2000.00,1500.00,-0.05,-1.20,3,0.12,0.85,1,25.50,38.20,5.30,69.00,2450,3120,5680,890,100.0,95.2,0.65,0.58,0.68,0.32,0.38,0.38,Initial version
TOP_CORE,v1.1,12800.80,5350.40,3900.50,2050.00,1500.00,-0.08,-1.85,5,0.10,1.20,2,26.80,40.50,5.50,72.80,2520,3210,5890,920,100.0,94.8,0.68,0.62,0.70,0.35,0.42,0.42,Added FPU
TOP_CORE,v1.2,12200.30,5100.20,3750.10,2000.00,1350.00,-0.03,-0.85,2,0.15,0.60,1,24.20,36.80,5.10,66.10,2380,3050,5520,860,100.0,96.5,0.72,0.68,0.65,0.28,0.33,0.33,Optimized for area
TOP_CORE,v2.0,13500.90,5600.80,4100.30,2200.00,1600.00,-0.02,-0.45,1,0.18,0.40,0,22.50,34.20,4.80,61.50,2680,3380,6120,1050,100.0,98.2,0.78,0.75,0.72,0.26,0.30,0.30,RTL refactor
TOP_CORE,v2.1,13800.20,5750.50,4200.80,2250.00,1600.00,-0.04,-0.95,2,0.14,0.75,1,23.80,37.50,5.00,66.30,2750,3480,6350,1100,100.0,97.5,0.80,0.78,0.74,0.30,0.34,0.34,Added security module
TOP_CORE,v2.2,14200.60,5900.30,4350.20,2300.00,1650.00,-0.06,-1.45,4,0.12,1.05,2,25.20,39.80,5.20,70.20,2820,3590,6580,1150,100.0,96.8,0.82,0.80,0.76,0.33,0.38,0.38,Final integration
UART,v1.0,850.20,320.50,280.30,150.00,100.00,-0.02,-0.15,1,0.08,0.15,0,1.80,2.50,0.40,4.70,185,220,380,75,100.0,99.5,0.45,0.40,0.55,0.13,0.16,0.16,Simple UART
UART,v1.1,920.80,350.20,310.50,160.00,100.00,-0.03,-0.25,2,0.06,0.22,1,2.10,2.90,0.45,5.45,205,245,420,85,100.0,99.2,0.52,0.48,0.58,0.16,0.19,0.19,Added DMA
I2C,v1.0,420.50,180.30,140.20,50.00,50.00,-0.01,-0.08,0,0.10,0.10,0,0.95,1.30,0.25,2.50,95,115,195,40,100.0,99.8,0.38,0.35,0.48,0.09,0.11,0.11,Basic I2C
I2C,v1.1,480.20,210.50,160.30,60.00,50.00,-0.02,-0.12,1,0.08,0.15,1,1.15,1.60,0.28,3.03,110,135,230,48,100.0,99.5,0.45,0.42,0.52,0.12,0.14,0.14,Multi-master support
SPI,v1.0,680.30,260.20,220.10,100.00,100.00,-0.01,-0.10,1,0.09,0.12,0,1.50,2.10,0.35,3.95,155,188,340,65,100.0,99.6,0.42,0.38,0.50,0.10,0.13,0.13,SPI master
SPI,v1.1,750.80,290.50,250.30,110.00,100.00,-0.02,-0.18,2,0.07,0.18,1,1.75,2.45,0.40,4.60,175,215,390,75,100.0,99.3,0.50,0.45,0.55,0.13,0.16,0.16,Added quad SPI
GPIO,v1.0,380.20,150.30,120.10,60.00,50.00,-0.01,-0.05,0,0.11,0.08,0,0.80,1.10,0.22,2.12,85,102,175,35,100.0,99.9,0.35,0.32,0.45,0.07,0.09,0.09,Basic GPIO
GPIO,v1.1,520.50,210.20,180.30,80.00,50.00,-0.01,-0.08,1,0.10,0.12,1,1.20,1.65,0.28,3.13,120,148,255,50,100.0,99.8,0.42,0.40,0.50,0.10,0.12,0.12,Interrupt support
PLL,v1.0,250.80,80.20,60.10,50.00,60.50,-0.001,-0.02,0,0.05,0.05,0,0.45,0.65,0.12,1.22,45,55,85,15,100.0,100.0,0.00,0.00,0.35,0.04,0.06,0.06,PLL module
PLL,v1.1,280.30,90.50,65.20,60.00,64.60,-0.002,-0.03,0,0.04,0.08,1,0.52,0.75,0.14,1.41,52,65,98,18,100.0,99.9,0.00,0.00,0.38,0.05,0.07,0.07,Added spread spectrum
